Index;Tweet;HS;Abusive;HS_Individual;HS_Group;HS_Religion;HS_Race;HS_Physical;HS_Gender;HS_Other;HS_Weak;HS_Moderate;HS_Strong;Tweet_Parsed;HS_predict;Abusive_predict;HS_Individual_predict;HS_Group_predict;HS_Religion_predict;HS_Race_predict;HS_Physical_predict;HS_Gender_predict;HS_Other_predict;HS_Weak_predict;HS_Moderate_predict;HS_Strong_predict
1;"GANTENG TAPI BERENGSEK!!! BUAT APA?!!
WHO DO YOU THINK YOU ARE? YOU'RE NOTHING!! TO ME! << REMEMBER THIS!!";1;1;1;0;0;0;0;0;1;1;0;0;ganteng tapi berengsek buat apa  kamu pikir kamu adalah kamu tidak ada  kuingat ini;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8;USER Anak pecun... ga jauh2 dr hobi zina.. haha';1;1;1;0;0;0;0;1;0;1;0;0;pengguna anak pecun tidak jauh dari hobi zina ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9;"USER Udah siap di demo berjilid2 sama bani cingkrang ? Malaysia memberlakukan syariat Islam, tapi melegalkan perjudian dengan berbagai syarat dan ketentuan yg ""strict"".'";0;0;0;0;0;0;0;0;0;0;0;0;pengguna sudah siap di demo berjilid jilid sama bani cingkrang malaysia memberlakukan syariat islam tapi melegalkan perjudian dengan berbagai persyaratan dan ketentuan  ketat;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
10;Hamdalah. Kelar juga ini fitur keparat.';0;1;0;0;0;0;0;0;0;0;0;0;hamdalah selesai juga ini fitur keparat;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12;USER Jancuk! Pingin gue tabok itu anak';1;1;1;0;0;0;0;0;1;1;0;0;pengguna jancuk ingin aku tabok itu anak;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
20;USER Kelemahan gerindra itu ada di orang ini,...Prabowo turun elektabilitasnya karena CONGOR fadlizon spt DURNO';1;1;1;0;0;0;0;0;1;1;0;0;pengguna kelemahan gerindra itu ada di orang ini prabowo turun elektabilitasnya karena congor fadli zon seperti durno;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0
21;"indonesia: literally suffocating from the air pollution

the kampungan people watching over their trash burning:  pic.twitter.com/4ny5B7F2uX";0;1;0;0;0;0;0;0;0;0;0;0;indonesia benar benar tercekik oleh polusi udara  dilihat orang orang kampung atas pembakaran sampah mereka;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
23;#MataNajwaDebatJakarta lucu banget jawaban ahok.. gak nyambung. Ditanya apa di jawab apa. Kena skak mat d pertanyaan isu agama tdi. Dasar cina tolol hahaha;1;1;1;0;0;1;0;0;0;1;0;0;mata najwa debat jakarta lucu banget jawaban ahok tidak menyambung tanya apa  ada jawab apa kena sekak mat di pertanyaan masalah agama dasar cina tolol ;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0
25;USER Astagaaa.. Sewa pecun skalian ga pak?';0;1;0;0;0;0;0;0;0;0;0;0;pengguna astaga sewa pecun sekalian tidak pak;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0
33;"When you cheat and ""win"" you've distinguished yourself as a LOSER!  #ShameOnYouMalaysia #SEAGames2017";1;0;0;1;0;0;0;0;1;0;1;0;saat kamu menipu dan menang kamu telah membedakan dirimu sebagai seorang pecundang dalam game laut malaysia ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
38;Why doe your bio. Look so fake? Are you a liar? Why are you such a liar? Nobody likes a liar. You should be proud of who you are. Stop lying;1;0;1;0;0;0;0;0;1;1;0;0;mengapa anda melakukan bio terlihat sangat palsu apakah anda pembohong mengapa anda pembohong seperti itu tidak ada  suka pembohong anda harus bangga dengan siapa anda berhenti berbohong;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
39;educate your self a lil before saying things like this. Upin Ipin movie and Munafik doing so well here. It's 2020, narrow minded mind stay behind.;1;0;1;0;0;0;0;0;1;1;0;0;mendidik diri anda sedikit sebelum mengatakan berpikir seperti ini film ipin upin dan munafik melakukannya dengan baik di sini itu pikiran  berpikiran sempit tinggal di belakang;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
