Index;Tweet;HS;Abusive;HS_Individual;HS_Group;HS_Religion;HS_Race;HS_Physical;HS_Gender;HS_Other;HS_Weak;HS_Moderate;HS_Strong;Tweet_Parsed;HS_predict;Abusive_predict;HS_Individual_predict;HS_Group_predict;HS_Religion_predict;HS_Race_predict;HS_Physical_predict;HS_Gender_predict;HS_Other_predict;HS_Weak_predict;HS_Moderate_predict;HS_Strong_predict
1;"GANTENG TAPI BERENGSEK!!! BUAT APA?!!
WHO DO YOU THINK YOU ARE? YOU'RE NOTHING!! TO ME! << REMEMBER THIS!!";1;1;1;0;0;0;0;0;1;1;0;0;ganteng tapi berengsek buat apa who do you think you are you are nothing to me remember this ;0;1;1;0;0;0;0;0;0;0;0;0
3;"Does insulting one for being ""Cina"", ""Kafir"", make you a better Muslim?";0;1;0;0;0;0;0;0;0;0;0;0;does insulting one for being cina kafir make you a better muslim ;1;1;1;0;0;0;0;0;0;1;0;0
6;USER Khan yg ngajarin si garong kafir';1;1;1;0;1;0;0;0;0;1;0;0;user   mengajarkan  garong kafir ;0;1;0;0;0;0;0;0;0;0;0;0
8;USER Anak pecun... ga jauh2 dr hobi zina.. haha';1;1;1;0;0;0;0;1;0;1;0;0;user anak pecun tidak jauh jauh dari hobi zina  ;1;1;1;0;0;0;0;0;1;1;0;0
9;"USER Udah siap di demo berjilid2 sama bani cingkrang ? Malaysia memberlakukan syariat Islam, tapi melegalkan perjudian dengan berbagai syarat dan ketentuan yg ""strict"".'";0;0;0;0;0;0;0;0;0;0;0;0;user sudah siap di demo berjilid jilid sama bani cingkrang malaysia memberlakukan syariat islam tapi melegalkan perjudian dengan berbagai syarat dan ketentuan  strict ;1;0;0;1;0;0;0;0;1;0;1;0
12;USER Jancuk! Pingin gue tabok itu anak';1;1;1;0;0;0;0;0;1;1;0;0;user jancuk ingin aku tabok itu anak ;0;1;0;0;0;0;0;0;0;0;0;0
19;I like you. You like him, itukan berengsek :3 #nyampah;0;1;0;0;0;0;0;0;0;0;0;0;i like you you like him itu  berengsek menyampah;1;1;1;0;0;0;0;0;1;1;0;0
22;RT USER: Ya, saya bajingan\nTERIMA KASIH';0;1;0;0;0;0;0;0;0;0;0;0;rt user  saya bajingan terima kasih ;0;1;1;0;0;0;0;0;0;1;0;0
23;#MataNajwaDebatJakarta lucu banget jawaban ahok.. gak nyambung. Ditanya apa di jawab apa. Kena skak mat d pertanyaan isu agama tdi. Dasar cina tolol hahaha;1;1;1;0;0;1;0;0;0;1;0;0; mata najwa debat jakarta lucu banget jawaban ahok tidak menyambung ditanya apa di jawab apa kena sekak mat di pertanyaan isu agama tadi dasar cina tolol ;1;1;1;0;0;0;0;0;0;1;0;0
25;USER Astagaaa.. Sewa pecun skalian ga pak?';0;1;0;0;0;0;0;0;0;0;0;0;user astaga sewa pecun sekalian tidak pak ;0;0;0;0;0;0;0;0;0;0;0;0
29;"Over 190 million Indonesians have voted for a new president and parliament. Incumbent president Joko Widodo faces off against former army general Prabowo Subianto in a campaign dominated by economic issues and debates on religion. 

#IndonesiaElection #IndusNews pic.twitter.com/wnbdFOFZf6";0;0;0;0;0;0;0;0;0;0;0;0;over million indonesians have voted for a new presiden and parliament incumbent presiden joko widodo faces off against former army general prabowo subianto in a kampanye dominated by ekonomi issues and debates on religion indonesia election indus news ;1;0;1;0;0;0;0;0;1;1;0;0
31;Pantes idiot makananya upil URL;0;1;0;0;0;0;0;0;0;0;0;0;pantas idiot makanannya upil url;1;1;1;0;0;0;0;0;1;1;0;0
