Index;Tweet;HS;Abusive;HS_Individual;HS_Group;HS_Religion;HS_Race;HS_Physical;HS_Gender;HS_Other;HS_Weak;HS_Moderate;HS_Strong;Tweet_Parsed;HS_predict;Abusive_predict;HS_Individual_predict;HS_Group_predict;HS_Religion_predict;HS_Race_predict;HS_Physical_predict;HS_Gender_predict;HS_Other_predict;HS_Weak_predict;HS_Moderate_predict;HS_Strong_predict
3;"Does insulting one for being ""Cina"", ""Kafir"", make you a better Muslim?";0;1;0;0;0;0;0;0;0;0;0;0;does insulting one for being cina kafir make you a better muslim ;1;1;1;0;0;0;0;0;0;1;0;0
19;I like you. You like him, itukan berengsek :3 #nyampah;0;1;0;0;0;0;0;0;0;0;0;0;i like you you like him itu  berengsek menyampah;1;1;1;0;0;0;0;0;1;1;0;0
29;"Over 190 million Indonesians have voted for a new president and parliament. Incumbent president Joko Widodo faces off against former army general Prabowo Subianto in a campaign dominated by economic issues and debates on religion. 

#IndonesiaElection #IndusNews pic.twitter.com/wnbdFOFZf6";0;0;0;0;0;0;0;0;0;0;0;0;over million indonesians have voted for a new presiden and parliament incumbent presiden joko widodo faces off against former army general prabowo subianto in a kampanye dominated by ekonomi issues and debates on religion indonesia election indus news ;1;0;1;0;0;0;0;0;1;1;0;0
37;"I ever since 2016 came to work early and finished work late and work my ass off this kindergarten even though I was not feeling well but my boss said I need to improve my working skills?

What you want me to do to make you satisfied?Fuck with you in the office ÃÂ°ÃÂ¸ÃÂ'
Bangsat loh!,,,,";0;1;0;0;0;0;0;0;0;0;0;0;i ever sejak came to work early and finished work late and work my ass off this kindergarten even though i was not feeling well but my bos said i need to improve my working skills apa you want me to do to make you satisfied fuck dengan you in the office bangsat  ;0;0;0;0;0;0;0;0;0;0;0;0
54;USER Dah pernah naik onta ?';0;0;0;0;0;0;0;0;0;0;0;0;user sudah pernah naik unta ;1;0;1;0;0;0;0;0;0;1;0;0
68;Teroris Budha juga merendahkan Al-Quran!;1;0;0;1;1;0;0;0;0;0;1;0;teroris buddha juga merendahkan al alquran ;1;0;0;1;0;0;0;0;0;0;1;0
79;I'M LAUGHING TOO MUCH HAHAHAHAHAHAHAHA WHAT THE FUCK, BANGSAT HAHAHAHAHAHAHAHAHAHAHA  https://twitter.com/DEADORCOMA/status/1078682977905700864ÃÂÃÂ ÃÂ¢Ã¢ÂÂ¬ÃÂ¦,,,,;0;1;0;0;0;0;0;0;0;0;0;0;i sama laughing too much  apa the fuck bangsat  ;1;1;0;0;0;0;0;0;1;0;0;0
83;Kita bangga dg prestasi Musa La Ode Abu Hanafi, hafidz 7 tahun di Musabaqah Hifzil Quran Internasional di Mesir;0;0;0;0;0;0;0;0;0;0;0;0;kita bangga dengan prestasi musa  ode abu hanafi hafiz tahun di musabaqah hifzil alquran internasional di mesir;1;0;0;0;0;0;0;0;0;0;0;0
90;bukan fiktif tapi fiksi;0;0;0;0;0;0;0;0;0;0;0;0;bukan fiktif tapi fiksi;1;0;1;0;0;0;0;0;1;1;0;0
91;pltl sorry rl ada yg kristen mau masuk grup dm?';0;0;0;0;0;0;0;0;0;0;0;0;pltl maaf rl ada  kristen mau masuk grup direct message ;1;0;0;0;0;0;0;0;0;0;0;0
93;pikiran bejat gua thinking about something else.;0;1;0;0;0;0;0;0;0;0;0;0;pikiran bejat aku thinking about something else ;1;1;1;0;0;0;0;0;1;1;0;0
113;Everyone has their rights to be berengsek;0;1;0;0;0;0;0;0;0;0;0;0;everyone has their rights to be berengsek;1;1;0;0;0;0;0;0;0;0;0;0
120;RT USER: Om ini \xf0\x9f\x91\x87 mengoda banget pamer kontol besar bikin pikiran terbawa arus cinta \xf0\x9f\x92\x98 URL;0;1;0;0;0;0;0;0;0;0;0;0;rt user om ini menggoda banget pamer kontol besar buat pikiran terbawa arus cinta url;1;1;1;0;0;0;0;0;1;1;0;0
158;PopulerB1 8: Prabowo Diminta Tak Jadikan Isu Rohingya untuk Tekan Pemerintah URL URL;1;0;1;0;0;0;0;0;1;1;0;0;populer prabowo diminta tidak jadikan isu rohingya untuk tekan pemerintah url url;1;0;0;0;0;0;0;0;1;0;0;0
166;orang-orang ini ajaib..yg makan duit siapa,yg nipu siapa, mau demo ke pemerintah..ujung-ujungnya dipolitisasi turunkan jokowi..haha. gila!!;1;0;1;0;0;0;0;0;1;1;0;0;orang orang ini ajaib  makan duit siapa  menipu siapa mau demo ke pemerintah ujung ujungnya dipolitisasi turunkan jokowi  gila ;1;1;1;0;0;0;0;0;1;1;0;0
198;Udah sinting URL;0;1;0;0;0;0;0;0;0;0;0;0;sudah sinting url;1;1;1;0;0;0;0;0;0;1;0;0
217;Langka adalah homo sapiens yang lebih sering berlalu lalang di sini daripada di sosmed sebelah =D';0;0;0;0;0;0;0;0;0;0;0;0;langka adalah homo sapiens  lebih sering berlalu lalang di sini daripada di media sosial sebelah di ;0;1;0;0;0;0;0;0;0;0;0;0
221;USER Busuk...jijik...';0;1;0;0;0;0;0;0;0;0;0;0;user busuk jijik ;0;1;1;0;0;0;0;0;0;1;0;0
239;A half of your gold came from your cheating. Nobody don't know . Ã°ÂÂÂÃ°ÂÂÂÃ°ÂÂÂ #ShameOnYouMalaysia #SEAGames2017;1;0;0;1;0;0;0;0;1;0;1;0;a half of your gold came from your cheating nobody do not know shame on you malaysia sea games ;0;1;0;0;0;0;0;0;1;0;0;0
260;Why do people get happiness with their lives, but i don't feel anything like that?  is all this fair enough with what God gave me? even to die at a young age i feel it's appropriate and legitimate to do so. Capek, sedih, kontol pokoknya;0;1;0;0;0;0;0;0;0;0;0;0;kenapa do people get happiness dengan their lives but i do not feel anything like that is all this fair enough dengan apa god gave me even to dia at a young age i feel it appropriate and legitimate to do so lelah sedih kontol pokoknya;0;0;0;0;0;0;0;0;0;0;0;0
265;USER Bangsad napadah lu sangad tidack ramah sama gua';1;1;1;0;0;0;0;0;1;1;0;0;user bangsat apa  kamu sangat tidak ramah sama aku ;0;1;0;0;0;0;0;0;0;0;0;0
270;Babi haram babu halal hanya ulah Muhammad BEJAD mencatut nama Tuhan;1;1;0;1;1;0;0;0;0;0;1;0;babi haram babu halal cuma ulah muhammad bejat mencatut nama tuhan;1;1;0;1;0;0;0;0;0;0;1;0
293;one thing that sucks about being live in indonesia is that your standard for food is already so high. no other country food will impress youÃ°ÂÂÂ­;0;1;0;0;0;0;0;0;0;0;0;0;one thing that sucks about being live in indonesia is that your standard for food is already so high no other country food will impress you ;1;1;0;0;0;0;0;0;1;0;0;0
316;USER Gubernur ahoax yg di bangga in cebong kelas Jamban, mana yg di bangga in ahoker sama jokower, nih liat gubernur Indonesia cerdasnya....;1;1;0;1;0;0;0;0;1;0;1;0;user gubernur ahok  di bangga in kecebong kelas jamban mana  di bangga in ahoker sama jokower nih lihat gubernur indonesia cerdasnya ;1;1;1;0;0;0;0;0;1;1;0;0
320;Apakah Allah SWT datang menolong, Bang Fahri. jika tidak, berhenti solat, tak ada gunanya;1;0;0;1;1;0;0;0;0;0;1;0;apakah allah subhanahu wa taala datang menolong bang fahri jika tidak berhenti salat tidak ada gunanya;1;0;0;1;0;0;0;0;0;0;1;0
325;USER Di perutnya onta';0;0;0;0;0;0;0;0;0;0;0;0;user di perutnya unta ;0;1;0;0;0;0;0;0;0;0;0;0
328;"It's like overwhelming but the portion is too much. You easily feel amazed.
In Indonesian, it's similar to kampungan (tacky).";0;1;0;0;0;0;0;0;0;0;0;0;it like overwhelming but the portion is too much you easily feel amazed in indonesian it similar to kampungan tacky ;0;0;0;0;0;0;0;0;0;0;0;0
339;TumbangkanJokowiRadikal TUMBANGKAN REZIM TIRANI.. LENGSERKAN JOKOWI;1;0;1;0;0;0;0;0;1;0;0;1;tumbangkan jokowi radikal tumbangkan rezim tirani lengserkan jokowi;1;0;1;0;0;0;0;0;1;1;0;1
343;KPR untuk PNS, dan Anggota TNI/Polri akan Potong Gaji Bulanan;0;0;0;0;0;0;0;0;0;0;0;0;kredit pemilikan rumah untuk pegawai negeri sipil dan anggota tentara nasional indonesia kepolisian republik indonesia akan potong gaji bulanan;1;0;1;0;0;0;0;0;1;1;0;0
347;USER USER Fokus kpd rambu jalannya, sepertinya kita sdh terjajah sama cina, rambu jalan pakai bahasa cina';0;0;0;0;0;0;0;0;0;0;0;0;user user fokus kepada rambu jalannya sepertinya kita sudah terjajah sama cina rambu jalan pakai bahasa cina ;1;0;0;0;0;0;0;0;0;0;0;0
364;shame. ini org di atas udh ga mampu, bikin prank ga ngotak. definisi orang tolol kampungan. that shit ain't funny maybe if u educate yourself you wouldn't be this shallow.;1;1;1;0;0;0;0;0;1;1;0;0;shame ini orang di atas sudah tidak mampu buat prank tidak pakai otak definisi orang tolol kampungan that shit am not funny maybe if kamu educate yourself you would not be this shallow ;1;1;0;0;0;0;0;0;0;0;0;0
376;USER cemilannya bajingan, wedangnya bajigur, malamnya nasgor jancuk. alhamdulilah smoga varokah';0;1;0;0;0;0;0;0;0;0;0;0;user camilannya bajingan wedangnya bajigur malamnya nasi goreng jancuk alhamdulillah semoga berkah ;1;1;0;0;0;0;0;0;1;0;0;0
387;"roses are red, violets are blue. mas doyoung kampret, but it's happy birthday to you Ã°ÂÂÂ
#HAPPYDOYOUNGDAY  USER  USER  USER pic.twitter.com/EQo04mEFKE";0;1;0;0;0;0;0;0;0;0;0;0;roses are red violets are blue mas doyoung kampret but it happy birthday to you happy do young day user user user ;0;0;0;0;0;0;0;0;0;0;0;0
390;Sepupu bos gw punya FB.. namanya Sin Ting.. sebagai orang Indonesia kalo baca nama FB nya pasti wa ngakak.\nAkhirnya wa bilang kalo Sinting dalam bahasa Indonesia artinya crazy. Dan mereka tertawa.';0;0;0;0;0;0;0;0;0;0;0;0;sepupu bos aku punya facebook namanya sin ting sebagai orang indonesia kalau baca nama facebook  pasti wa mengakak akhirnya wa bilang kalau sinting dalam bahasa indonesia artinya crazy dan mereka tertawa ;0;1;0;0;0;0;0;0;0;0;0;0
396;Do not waste your rights for a better Indonesia. #DemocracyParty #IndonesiaElection #BotanyJakarta #BotanyRestaurant  http://fb.me/1qtBigsKkÃÂ ;0;0;0;0;0;0;0;0;0;0;0;0;do not waste your rights for a better indonesia democracy party indonesia election botany jakarta botany restaurant ;1;0;0;0;0;0;0;0;1;0;0;0
403;USER Kasian fitriani nasib mu sm dg pendahulu hanya menuh2in pelatnas shrs nya pelatih yg di buang nih,tp syg PBSI ga ad nyali buat pecat pelatih liat cina langsng di pecat zhang ning';0;0;0;0;0;0;0;0;0;0;0;0;user kasihan fitriani nasib mu sama dengan pendahulu cuma memenuhi pemusatan latihan nasional seharusnya  pelatih  di buang nih tetapi sayang persatuan bulu tangkis seluruh indonesia tidak ada nyali buat pecat pelatih lihat cina langsung di pecat  ning ;0;1;0;0;0;0;0;0;0;0;0;0
414;USER Amin... Smoga Istiqomah...\nJgn khawatir cibiran org anggap aja ujian..\nIngat banyak org2 yg dulunya masalahnya suram bahkan kafir sekalipun kemudian taubat dan menjadi tokoh pejuang agama Islam...';0;0;0;0;0;0;0;0;0;0;0;0;user amin semoga istikamah jangan khawatir cibiran orang anggap saja ujian ingat banyak orang orang  dulunya masalahnya suram bahkan kafir sekalipun kemudian taubat dan menjadi tokoh pejuang agama islam ;1;1;0;0;0;0;0;0;0;0;0;0
415;"USER USER USER USER USER Justru malah universal dia ngomong....""kitab suci"" berarti semua kitab suci dong.....menistakan semua kitab suci,dan Al Qur'an adalah salah satu kitab suci agama Islam...tdk ada keraguan di";0;0;0;0;0;0;0;0;0;0;0;0;user user user user user justru malah universal dia bicara kitab suci berarti semua kitab suci  menistakan semua kitab suci dan al qur an adalah salah satu kitab suci agama islam tidak ada keraguan di;1;0;1;0;0;0;0;0;0;1;0;0
416;"USER USER USER Najis jauh"" lo bikin rejeki seret aja'";1;1;1;0;0;0;0;0;1;1;0;0;user user user najis jauh kamu buat rejeki seret saja ;1;0;1;0;0;0;0;0;0;1;0;0
417;USER Anjir. Dosa gua masih banyak tai wkwk';0;1;0;0;0;0;0;0;0;0;0;0;user anjir dosa aku masih banyak tai  ;1;1;1;0;0;0;0;0;1;1;0;0
419;i'm a big fan of agnesmo. since day one. her voice is above everyone else her generation. her work ethics are things that i admired long ago. what i wanna say is that idol can make mistake. they have flaws too. just like jokowi and everyone else. infallibility is bullshit.;0;1;0;0;0;0;0;0;0;0;0;0;i sama a besar fan of agnesmo sejak day one her suara is above everyone else her generation her work ethics are berpikir that i admired long ago apa i ingin say is that idola can make kesalahan they have flaws too just like jokowi and everyone else infallibility is bullshit ;0;0;0;0;0;0;0;0;0;0;0;0
436;USER Ten hyung juga bisa bahasa china\n\nTp dikit dikit :(';0;0;0;0;0;0;0;0;0;0;0;0;user ten hyung juga bisa bahasa cina tetapi sedikit sedikit ;0;1;0;0;0;0;0;0;0;0;0;0
463;USER USER Haq melawan batil (rezim mukidi). Haq pasti menang inshAllah';0;0;0;0;0;0;0;0;0;0;0;0;user user hak melawan batil rezim mukidi hak pasti menang insyaallah ;1;0;0;0;0;0;0;0;1;0;0;0
475;"Cc : fpi hti "" USER: A believer is fun and playful whereas a hypocrite is grim and angry. Prophet Muhammed (saw)""";0;0;0;0;0;0;0;0;0;0;0;0;cc front pembela islam hizbut tahrir indonesia user a believer is fun and playful whereas a hypocrite is grim and angry prophet muhammed saw ;1;1;0;1;1;0;0;0;0;0;1;0
481;USER Rakyat 3lauk10ribu pake telor separo? \xf0\x9f\x98\x82\nKalau mampu 20rb, kenapa ngasih 10rb \xf0\x9f\x98\x82\n\nBajingan kau gendut tai, hidup gak ada berkah.\n\n#2019GantiPresiden';1;1;1;0;0;0;0;0;1;1;0;0;user rakyat tiga lauk sepuluh ribu pakai telur separuh kalau mampu dua puluh ribu kenapa memberi sepuluh ribu bajingan kamu gendut tai hidup tidak ada berkah ganti presiden ;1;0;1;0;0;0;0;0;1;1;0;0
