Tweet;HS;Abusive;HS_Individual;HS_Group;HS_Religion;HS_Race;HS_Physical;HS_Gender;HS_Other;HS_Weak;HS_Moderate;HS_Strong;Tweet_Parsed
- disaat semua cowok berusaha melacak perhatian gue. loe lantas remehkan perhatian yg gue kasih khusus ke elo. basic elo cowok bego ! ! !';1;1;1;0;0;0;0;0;1;1;0;0;cowok usaha lacak perhati gue lantas remeh perhati gue kasih khusus basic cowok bego
RT USER: USER siapa yang telat ngasih tau elu?edan sarap gue bergaul dengan cigax jifla calis sama siapa noh licew juga';0;1;0;0;0;0;0;0;0;0;0;0;telat tau edan sarap gue gaul cigax jifla cal licew
41. Kadang aku berfikir, kenapa aku tetap percaya pada Tuhan padahal aku selalu jatuh berkali-kali. Kadang aku merasa Tuhan itu ninggalkan aku sendirian. Ketika orangtuaku berencana berpisah, ketika kakakku lebih memilih jadi Kristen. Ketika aku anak ter;0;0;0;0;0;0;0;0;0;0;0;0;kadang pikir percaya tuhan jatuh kali kali kadang tuhan tinggal orang tua rencana pisah kakak pilih kristen anak ter
USER USER AKU ITU AKU\n\nKU TAU MATAMU SIPIT TAPI DILIAT DARI MANA ITU AKU';0;0;0;0;0;0;0;0;0;0;0;0;ku tau mata sipit lihat
USER USER Kaum cebong kapir udah keliatan dongoknya dari awal tambah dongok lagi hahahah';1;1;0;1;1;0;0;0;0;0;1;0;kaum cebong kafir lihat dongok dungu haha
USER Ya bani taplak dkk \xf0\x9f\x98\x84\xf0\x9f\x98\x84\xf0\x9f\x98\x84';1;1;0;1;0;0;0;0;1;0;1;0;bani taplak kawan kawan
deklarasi pilkada 2018 aman dan anti hoax warga dukuh sari jabon;0;0;0;0;0;0;0;0;0;0;0;0;deklarasi pilih kepala daerah aman anti hoaks warga dukuh sari jabon
Gue baru aja kelar re-watch Aldnoah Zero!!! paling kampret emang endingnya! 2 karakter utama cowonya kena friendzone bray! XD URL;0;1;0;0;0;0;0;0;0;0;0;0;gue selesai re watch aldnoah zero kampret karakter utama cowok kena friendzone bro xd uniform resource locator
"Nah admin belanja satu lagi port terbaik nak makan Ais Kepal Milo, Ais Kepal Horlicks atau Cendol Toping kaw kaw. ð??­; ; Doket mano tu ? Gerai Rojak Mertuaku - Taipan 2 (depan TWINS BABY &amp; ROMANTIKA / Bank Islam Senawang) ð???";0;0;0;0;0;0;0;0;0;0;0;0;admin belanja port nak makan ais kepal milo ais kepal horlicks cendol toping kau kau doket gerai rozak mertua taipan kembar baby amp romantika bank islam senawang
USER Enak lg klo smbil ngewe';0;1;0;0;0;0;0;0;0;0;0;0;enak ngewe
Setidaknya gw punya jari tengah buat lu, sebelom gw ukur nyali sama bacot lu \xf0\x9f\x98\x8f';1;1;1;0;0;0;0;0;1;1;0;0;gue jari gue ukur nyali bacot
USER USER USER USER BANCI KALENG MALU GA BISA JAWAB PERTANYAAN KAMI DARI 2 HARI LALU.... NYUNGSEP KOE USER URL;1;1;1;0;0;0;0;1;0;1;0;0;banci kaleng malu nyungsep koe uniform resource locator
Kalo belajar ekonomi mestinya jago memprivatisasi hati orang. Duh.. ironi USER;0;0;0;0;0;0;0;0;0;0;0;0;ajar ekonomi mesti jago privatisasi hati orang aduh ironi
Aktor huruhara 98 Prabowo S ingin lengserkan pemerintahan Jokowi.... Nyata;1;0;1;0;0;0;0;0;1;1;0;0;aktor huru hara prabowo si lengser perintah jokowi nyata
USER Bu guru enakan jadi jablay atau guru esde sih.\nKayaknya menikmati jadi pecun ini guru.';1;1;1;0;0;0;0;1;0;1;0;0;bu guru enak jablay guru sekolah dasar kayak nikmat pecun guru
USER USER USER USER USER USER Lawan bicara gw gak intelek kyk loe, yg otak gak punya. Ttg kencing onta, gw mengakui hadis nabi dan itu sahih. Kafir kyk loe pasti menolak, makanya loe ahlunnar.';1;1;1;0;1;0;0;0;0;1;0;0;lawan bicara gue intelek kayak otak kencing onta gue hadis nabi sahih kafir kayak tolak ahlun nar
Belakangan ini kok fikiran ampas banget ya';0;0;0;0;0;0;0;0;0;0;0;0;pikir ampas banget
Ari sarua beki mah repeh monyet\xf0\x9f\x98\x86\xf0\x9f\x98\x86';0;1;0;0;0;0;0;0;0;0;0;0;ari bek rapi monyet
Jadi cowo itu harus Gantle kalo ga Gantle itu namanya BANCI !';1;1;0;1;0;0;0;1;0;0;1;0;cowok gantle gantle nama banci
USER Slga mnr bom \xf0\x9f\x98\x82';0;0;0;0;0;0;0;0;0;0;0;0;alga mnr bom
Asw ya tapi gua jarang ngambek, tacut wkkwkwkwkw gua kan bucin.';0;1;0;0;0;0;0;0;0;0;0;0;anjing gue jarang ambek takut wkwk gue budak cinta
USER kalo kamu noob pasti peluang disakitin nya lebih gede si';0;0;0;0;0;0;0;0;0;0;0;0;noob peluang sakit gede
USER Joko Widodo dinilai sebagai presiden terlemah dalam sejarah Indonesia. Hal ini terjadi bukan saja karena Jokowi tidak memiliki modal dukungan politik yang cukup, melainkan juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi g;0;0;0;0;0;0;0;0;0;0;0;0;joko widodo nilai presiden lemah sejarah indonesia jokowi milik modal dukung politik ketidakmampuan perintah hadap situasi ekonomi
"PELAJAR SMA KEC BILAH HILIR DEKLARASI ANTI HOAX &amp; PILKADA 2018 DAMAI";0;0;0;0;0;0;0;0;0;0;0;0;ajar camat bilah hilir deklarasi anti hoaks amp pilih kepala daerah damai
"Bandara Udara Internasional Kertajati dibangun oleh Gubernur Ahmad Heryawan tanpa gunakan APBN pemerintah pusat. Insya Allah siap beroperasi bulan depan;";0;0;0;0;0;0;0;0;0;0;0;0;bandara udara internasional kertajati bangun gubernur ahmad heryawan anggar belanja negara perintah pusat insya allah operasi
Siapapun gubernur dan presidennya, rakyatnya, ya kitaÂ² juga...;0;0;0;0;0;0;0;0;0;0;0;0;gubernur presiden rakyat
Ini si USER kerjaannya delay mulu! Setan!';1;1;0;1;0;0;0;0;1;0;1;0;kerja delay mulu setan
menurutku pintu sorga ada yaitu pintu sorga yang asli dan pintu hatimu modusbanget;0;0;0;0;0;0;0;0;0;0;0;0;pintu sorga pintu sorga asli pintu hati modus banget
