Tweet;HS;Abusive;HS_Individual;HS_Group;HS_Religion;HS_Race;HS_Physical;HS_Gender;HS_Other;HS_Weak;HS_Moderate;HS_Strong;Tweet_Parsed
"- kdg will be kind enough to show you how to look classy (gamau pny tmn kampungan)
- drinks only the finest wine or no drinking
- when he's being modest, will accompany you to watch movies
- doesnt listen to you that much but will know when ur not okay bcs he actually cares abt u";0;1;0;0;0;0;0;0;0;0;0;0;kadang kind enough show you look kelas tidak teman kampung drink fine wine orang drink he modest accompany you watch movie listen you much know kamu ok he actualy care kamu
Ternyata komunis juga bisa nangis';0;0;0;0;0;0;0;0;0;0;0;0;nyata komunis menang
USER USER Kenapa harus bom ya? Kek yg benar nunjukin kita ini siapa. Dgn emabel \xe2\x80\x9cbom\xe2\x80\x9d masih bikin takut org org sbnr nya, apalagi klwr yg menjadi korban.';0;0;0;0;0;0;0;0;0;0;0;0;user user bom kita embel bom takut orang orang korban
USER Sumpaaah kaya kalo abis IAA dilanjut olim sama pagelaran budaya gak siii wkwkw;0;0;0;0;0;0;0;0;0;0;0;0;user sumpah kaya habis iya olimpiade pagelaran budaya tidak
RT USER USER USER USER USER fungsi media sosial di Indo unt sebar fitnah di AS unt kecerdasan URL;1;0;1;0;0;0;0;0;1;1;0;0;rt user user user user user fungsi medium sosial indonesia sebar fitnah cerdas url
Cawapres terduga korupsi e-ktp.. cagub jatengnya pun terduga korupsi e-ktp.. tapi msh blm ditindak? #2019GantiPresiden #2019PresidenBaru;1;0;1;0;0;0;0;0;1;1;0;0;calon wakil presiden duga korupsi e kartu tanda duduk calon gubernur jawa duga korupsi e kartu tanda duduk tindak ganti presiden presiden
ISRAEL UNFORGIVEN !!! YOU'RE THE REAL TERRORIST !! LAKNAT ALLAH MENANTIMU ZIONIS !! #PrayForGaza #PrayForPalestine;1;1;0;1;0;0;0;0;1;0;1;0;israel unforgiven you real terrorist laknat allah zionis pray gaza pray palestine
How do we know that? They just said a BULLSHIT!! RT  USER: Tetap Pergi ke Yunani, Anggota BK DPR Jamin Tak Pelesiran  http://de.tk/0aKcX;1;1;0;1;0;0;0;0;1;0;1;0;we know they say bullshit rt user pergi yunani anggota buku dewan wakil rakyat jamin tidak pelesir
Happy anniv failed 3bulan with cwo berengsek!;0;1;0;0;0;0;0;0;0;0;0;0;happy anniversary fail pria berengsek
USER anjg bener bener ayam kampus ya lo';1;1;1;0;0;0;0;1;0;1;0;0;user anjing ayam kampus kamu
