Tweet;HS;Abusive;HS_Individual;HS_Group;HS_Religion;HS_Race;HS_Physical;HS_Gender;HS_Other;HS_Weak;HS_Moderate;HS_Strong;Tweet_Parsed
Lengserkan kenapa om.. dpr kan punya kuasa rakyat.. kalau ndak berani maka kawal kami untuk lengserkan USER;1;0;1;0;0;0;0;0;1;0;0;1;lengser kenapa om dewan wakil rakyat kan punya kuasa rakyat kalau tidak berani maka kawal kami untuk lengser user
Presiden Joko Widodo (Jokowi) meminta agar Sistem Perizinan Berusaha Terintegrasi Secara Online atau Online Single Submission bisa segera diterapkan baik di Kementerian, di tingkat provinsi, di tingkat kabupaten, di tingkat kota. USER;0;0;0;0;0;0;0;0;0;0;0;0;presiden joko widodo jokowi minta agar sistem izin usaha integrasi cara online atau online single submission bisa segera terap baik di menteri di tingkat provinsi di tingkat kabupaten di tingkat kota user
luggage semua harga yahudi \xf0\x9f\x98\xb9';0;0;0;0;0;0;0;0;0;0;0;0;luggage semua harga yahudi 
"Pegimana ini? Ã°?Â¤Â­ RT USER: Menarik!; ; Meskipun kaosnya bertuliskan'2018 Ganti Gubernur Jateng', namun semangat dan antusiasme untuk mengajak foto bersama pak USER tetap ada.; ; #KamiGanjarYasin";0;0;0;0;0;0;0;0;0;0;0;0;bagaimana ini rt user tarik meski kaos tulis ganti gubernur jawa tengah namun semangat dan antusiasme untuk ajak foto sama pak user tetap ada kami ganjar yasin
makanya drpd pusing cari yg sdh hilang..mending urus lg surat DKP dr TNI u/ prabowo.hahaha URL;1;0;1;0;0;0;0;0;1;1;0;0;makanya daripada pusing cari yang sudah hilang mend urus lagi surat dkp dari tentara nasional indonesia kamu prabowo haha url
USER Benar pak, untuk itu mari kita cintai produk kita sendiri agar membantu produk kita bisa bersaing di pasar global. Dan semoga yg menang nanti jadi gubernur sumut bisa menjadikan sumut ini lebih baik baik di bidang peradangan, dll.;0;0;0;0;0;0;0;0;0;0;0;0;user benar pak untuk itu mari kita cinta produk kita sendiri agar bantu produk kita bisa saing di pasar global dan moga yang menang nanti jadi gubernur sumatera utara bisa jadi sumatera utara ini lebih baik baik di bidang adang dan lie lie 
"Kenapa gua jijiq? Gua mandangnya sebagai ""ORANG AWAM YANG GAK SUKA KPOP""! jadi mikir ""kan org korea tuh HOMO atau LESBI"" pdhl tuh idol kita mah di korea hidup tentram normal dan gua yakin sih bbrp idol udh punya pacar jadi wajar aja selama masih lawan je";0;1;0;0;0;0;0;0;0;0;0;0;kenapa aku jijik aku mandangnya bagai orang awam yang tidak suka korea pop jadi pikir kan orang korea itu homo atau lesbian padahal itu idola kita mah di korea hidup tentram normal dan aku yakin sih beberapa idola sudah punya pacar jadi wajar saja lama masih lawan saja
Pengembangan industri nasional sekarang diarahkan untuk menindaklanjuti produktivitas, daya saing, dan pengembangan teknologi' Leonard Tampubolon, Deputi Bidang Ekonomi Bappenas #ReadyForIndustry4.0 #FMB9;0;0;0;0;0;0;0;0;0;0;0;0;kembang industri nasional sekarang arah untuk menindaklanjuti produktivitas daya saing dan kembang teknologi leonard tampubolon deputi bidang ekonomi badan rencana bangun nasional ready for industry fm
"Ia kembali mencatat.; ; Ã°??? Ketahui kapan Exorcism diperlukan.; ; 1. Hubungi ahlinya.; ada dua point disini pannel ini :; ;'¢'Point pertama, tentunya bicaralah dengan para pemimpin agama atau seorang exorcist yang bisa melakukan exorcism.; ; #EHR124 ;";0;0;0;0;0;0;0;0;0;0;0;0;ia kembali catat tahu kapan eksorsisme perlu hubung ahli ada dua point di sini panel ini point pertama tentu bicara dengan para pimpin agama atau orang eksorsisme yang bisa laku eksorsisme ehr 
RT USER USER USER calon presiden garansi seumur hidup klw rolex sih garansi seumur hidup ketauan kelas nya STS;1;0;1;0;0;0;0;0;1;1;0;0;rt user user user calon presiden garansi umur hidup kalau rolex sih garansi umur hidup tahu kelas nya sts
USER Propaganda agama selalu pembrontakan dipimpinUlama atau Ustaz.Tetapi buktinya tidak pernah ada ulama/ustaz yg ditangkap apalagi dibuang ke BovenDigul,.Yg ada adalah tahanan NASOMALISdan KOMUNIS.Ada bukti;0;0;0;0;0;0;0;0;0;0;0;0;user propaganda agama selalu ronta pimpin ulama atau ustaz tetapi bukti tidak pernah ada ulama ustaz yang tangkap apalagi buang ke boven goel yang ada adalah tahan nasionalisme dan komunis ada bukti
Allah SWT tak paham toleransi hrs DIBUANG USER Ingin Belajar Toleransi & Keindonesiaan, Gabung SabangMerauke 2016;1;1;0;1;1;0;0;0;0;0;0;1;allah subhanahu wa taala tidak paham toleransi harus buang user ingin ajar toleransi indonesia gabung sabang merauke 
