Tweet;HS;Abusive;HS_Individual;HS_Group;HS_Religion;HS_Race;HS_Physical;HS_Gender;HS_Other;HS_Weak;HS_Moderate;HS_Strong;Tweet_Parsed
Lengserkan kenapa om.. dpr kan punya kuasa rakyat.. kalau ndak berani maka kawal kami untuk lengserkan USER;1;0;1;0;0;0;0;0;1;0;0;1;lengser om dewan wakil rakyat kuasa rakyat berani kawal lengser user
Presiden Joko Widodo (Jokowi) meminta agar Sistem Perizinan Berusaha Terintegrasi Secara Online atau Online Single Submission bisa segera diterapkan baik di Kementerian, di tingkat provinsi, di tingkat kabupaten, di tingkat kota. USER;0;0;0;0;0;0;0;0;0;0;0;0;presiden joko widodo jokowi sistem izin usaha integrasi online online single submission terap menteri tingkat provinsi tingkat kabupaten tingkat kota user
luggage semua harga yahudi \xf0\x9f\x98\xb9';0;0;0;0;0;0;0;0;0;0;0;0;luggage harga yahudi
"Pegimana ini? Ã°?Â¤Â­ RT USER: Menarik!; ; Meskipun kaosnya bertuliskan'2018 Ganti Gubernur Jateng', namun semangat dan antusiasme untuk mengajak foto bersama pak USER tetap ada.; ; #KamiGanjarYasin";0;0;0;0;0;0;0;0;0;0;0;0;user tarik kaos tulis ganti gubernur jawa semangat antusiasme ajak foto user ganjar yasin
makanya drpd pusing cari yg sdh hilang..mending urus lg surat DKP dr TNI u/ prabowo.hahaha URL;1;0;1;0;0;0;0;0;1;1;0;0;pusing cari hilang mend urus surat dkp tentara nasional indonesia prabowo
USER Benar pak, untuk itu mari kita cintai produk kita sendiri agar membantu produk kita bisa bersaing di pasar global. Dan semoga yg menang nanti jadi gubernur sumut bisa menjadikan sumut ini lebih baik baik di bidang peradangan, dll.;0;0;0;0;0;0;0;0;0;0;0;0;user mari cinta produk bantu produk saing pasar global moga menang gubernur sumatera utara sumatera utara bidang adang lie lie
"Kenapa gua jijiq? Gua mandangnya sebagai ""ORANG AWAM YANG GAK SUKA KPOP""! jadi mikir ""kan org korea tuh HOMO atau LESBI"" pdhl tuh idol kita mah di korea hidup tentram normal dan gua yakin sih bbrp idol udh punya pacar jadi wajar aja selama masih lawan je";0;1;0;0;0;0;0;0;0;0;0;0;jijik mandangnya orang awam suka korea pop pikir orang korea homo lesbian idola korea hidup tentram normal idola pacar wajar lawan
Pengembangan industri nasional sekarang diarahkan untuk menindaklanjuti produktivitas, daya saing, dan pengembangan teknologi' Leonard Tampubolon, Deputi Bidang Ekonomi Bappenas #ReadyForIndustry4.0 #FMB9;0;0;0;0;0;0;0;0;0;0;0;0;kembang industri nasional arah menindaklanjuti produktivitas daya saing kembang teknologi leonard tampubolon deputi bidang ekonomi badan rencana bangun nasional ready industry fm
"Ia kembali mencatat.; ; Ã°??? Ketahui kapan Exorcism diperlukan.; ; 1. Hubungi ahlinya.; ada dua point disini pannel ini :; ;'¢'Point pertama, tentunya bicaralah dengan para pemimpin agama atau seorang exorcist yang bisa melakukan exorcism.; ; #EHR124 ;";0;0;0;0;0;0;0;0;0;0;0;0;catat eksorsisme hubung ahli point panel point bicara pimpin agama orang eksorsisme laku eksorsisme ehr
RT USER USER USER calon presiden garansi seumur hidup klw rolex sih garansi seumur hidup ketauan kelas nya STS;1;0;1;0;0;0;0;0;1;1;0;0;user user user calon presiden garansi umur hidup rolex garansi umur hidup kelas sts
USER Propaganda agama selalu pembrontakan dipimpinUlama atau Ustaz.Tetapi buktinya tidak pernah ada ulama/ustaz yg ditangkap apalagi dibuang ke BovenDigul,.Yg ada adalah tahanan NASOMALISdan KOMUNIS.Ada bukti;0;0;0;0;0;0;0;0;0;0;0;0;user propaganda agama ronta pimpin ulama ustaz bukti ulama ustaz tangkap buang boven goel tahan nasionalisme komunis bukti
Allah SWT tak paham toleransi hrs DIBUANG USER Ingin Belajar Toleransi & Keindonesiaan, Gabung SabangMerauke 2016;1;1;0;1;1;0;0;0;0;0;0;1;allah subhanahu wa taala paham toleransi buang user ajar toleransi indonesia gabung sabang merauke
"USER Saya sudah tau ini, ini Sarah ini pasukan nasi bungkus, yang mana yang ada dana.\n\nPernah coba nantangin mau samperin saya, saya tunggu ehh ""NGEBLOCK""'";0;0;0;0;0;0;0;0;0;0;0;0;user tau sarah pasu nasi bungkus dana coba tantang samper tunggu blok
USER Indonesia 99% tetap ganti presiden kopanye nang ruhut #2019GantiPresiden #2019.;0;0;0;0;0;0;0;0;0;0;0;0;user indonesia ganti presiden kampanye ruhut ganti presiden
USER USER 2019 boomerang buat pak USER.. mulut USER;1;0;1;0;0;0;0;0;1;1;0;0;user user boomerang user mulut user
Kalau sudah begini rame - rame saling cuci tangan. Cari aman masing - masing..... Dasar gubernur curang;1;0;1;0;0;0;0;0;1;1;0;0;ramai ramai cuci tangan cari aman dasar gubernur curang
USER USER Kalo cacat otak jangan dipelihara';1;1;1;0;0;0;1;0;0;1;0;0;user user cacat otak pelihara
USER USER ini masih cacad bgt ngeditnya loh\xf0\x9f\x98\xad tapi makaih yaaa huhuu\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\x98\xf0\x9f\x98\x98\xf0\x9f\x92\x9a\xf0\x9f\x92\x9a';0;1;0;0;0;0;0;0;0;0;0;0;user user cacat banget edit terima kasih
Islam Nusantara 1 wacana soal Islam Arab dengan PKI yg juga numpang di PDIP. 2015 ini setelah Jokowi menang di pilpres 2014. Sadar ga sih lu dimanfaatkan USER sadar.';1;0;0;1;1;1;0;0;0;0;1;0;islam nusantara wacana islam arab partai komunis indonesia tumpang partai demokrasi indonesia juang jokowi menang pilih presiden sadar manfaat user sadar
KPK SDH MENYERAH DAN SIAP DI BUBARKAN? URL;1;0;0;1;0;0;0;0;1;0;1;0;komisi berantas korupsi serah bubar
USER bodo yang penting mak bahagia';0;1;0;0;0;0;0;0;0;0;0;0;user bodoh bahagia
USER Pak USER Saya harap KemAgama mau menggelar diskusi terbuka & beradab, sy siap memberi penjelasan;0;0;0;0;0;0;0;0;0;0;0;0;user user harap menteri agama gelar diskusi buka adab
USER USER Lucuk dan sipit hmmm';0;0;0;0;0;0;0;0;0;0;0;0;user user lucu sipit
Bersiap usir sepasang= ASING-CINA,, USER USER USER USER USER USER USER SelamatkenHutan;1;0;1;0;0;1;0;0;0;1;0;0;usir pasang asing cina user user user user user user user selamat hutan
USER BENCONG TREAK BENCONG';1;1;1;0;0;0;0;1;0;1;0;0;user bencong teriak bencong
"Warga Baduy setelah selesai memperingati tradisi Seba di Pendopo Pemkab Lebak akan dilanjutkan kembali bertemu dengan Gubernur Banten Wahidin Halim hari ini, Sabtu (21/4) #SebaBaduy2018 ; DM";0;0;0;0;0;0;0;0;0;0;0;0;warga badui selesai tradisi seba pendopo perintah kabupaten lebak temu gubernur banten wahidin halim sabtu seba baduy direct message
Kenapa berkata asu dibilang mengumpat dan kasar? Bukannya asu salah satu hewan piaraan yg lucu dan ngemesin? Nek ra iso eek we ws tak pelihara';0;0;0;0;0;0;0;0;0;0;0;0;anjing bilang umpat kasar anjing salah hewan piara lucu gemas nek ra tai pelihara
paling mau muntah liat lagak nya USER, jadi orang sok iye banget hoek;1;1;1;0;0;0;0;0;1;1;0;0;pal muntah lihat lagak user orang sok iya banget hoek
Artinya kepercayaan Quran sebagai kitab hukum Allah SWT harus dibuang Pak Lukman?;1;0;0;1;1;0;0;0;0;0;1;0;arti percaya alquran kitab hukum allah subhanahu wa taala buang lukman
