Tweet;HS;Abusive;HS_Individual;HS_Group;HS_Religion;HS_Race;HS_Physical;HS_Gender;HS_Other;HS_Weak;HS_Moderate;HS_Strong;Tweet_Parsed
"- kdg will be kind enough to show you how to look classy (gamau pny tmn kampungan)
- drinks only the finest wine or no drinking
- when he's being modest, will accompany you to watch movies
- doesnt listen to you that much but will know when ur not okay bcs he actually cares abt u";0;1;0;0;0;0;0;0;0;0;0;0;kadang akan cukup baik untuk tunjuk kepada anda bagaimana lihat kelas tidak mau punya teman kampung hanya minum anggur baik orang tidak minum ketika dia sedang sederhana akan tani anda untuk tonton film tidak dengar anda banyak tetapi akan tahu kapan anda tidak baik baik saja karena dia benar peduli tentang kamu
Ternyata komunis juga bisa nangis';0;0;0;0;0;0;0;0;0;0;0;0;nyata komunis juga bisa menang
USER USER Kenapa harus bom ya? Kek yg benar nunjukin kita ini siapa. Dgn emabel \xe2\x80\x9cbom\xe2\x80\x9d masih bikin takut org org sbnr nya, apalagi klwr yg menjadi korban.';0;0;0;0;0;0;0;0;0;0;0;0;guna guna mengapa harus bom  seperti  benar benar bukti kita ini siapa dengan embel bom masih buat takut orang orang benar dia keluar keluar  jadi korban
USER Sumpaaah kaya kalo abis IAA dilanjut olim sama pagelaran budaya gak siii wkwkw;0;0;0;0;0;0;0;0;0;0;0;0;guna sumpah kaya kalau habis iya lanjut olimpiade sama budaya tidak  
RT USER USER USER USER USER fungsi media sosial di Indo unt sebar fitnah di AS unt kecerdasan URL;1;0;1;0;0;0;0;0;1;1;0;0;guna rt guna guna guna fungsi medium sosial di indonesia untuk sebar fitnah di bagai untuk cerdas url
Cawapres terduga korupsi e-ktp.. cagub jatengnya pun terduga korupsi e-ktp.. tapi msh blm ditindak? #2019GantiPresiden #2019PresidenBaru;1;0;1;0;0;0;0;0;1;1;0;0;calon wakil presiden duga korupsi e kartu tanda duduk calon gubernur jawa tengah  duga korupsi e kartu tanda duduk tapi masih belum tindak ganti presiden presiden baru
ISRAEL UNFORGIVEN !!! YOU'RE THE REAL TERRORIST !! LAKNAT ALLAH MENANTIMU ZIONIS !! #PrayForGaza #PrayForPalestine;1;1;0;1;0;0;0;0;1;0;1;0;israel  tak ampun anda adalah teroris  benar laknat allah nanti zionis doa untuk gaza doa untuk palestine
How do we know that? They just said a BULLSHIT!! RT  USER: Tetap Pergi ke Yunani, Anggota BK DPR Jamin Tak Pelesiran  http://de.tk/0aKcX;1;1;0;1;0;0;0;0;1;0;1;0;bagaimana kita tahu bahwa mereka hanya kata guna rsh omong kosong tetap pergi ke yunani anggota dewan wakil rakyat jamin tidak pelesir
Happy anniv failed 3bulan with cwo berengsek!;0;1;0;0;0;0;0;0;0;0;0;0;selamat ulang tahun gagal bulan dengan pria berengsek
USER anjg bener bener ayam kampus ya lo';1;1;1;0;0;0;0;1;0;1;0;0;guna anjing benar benar ayam kampus  kamu
USER Wisma darulaman. Kerja\xc2\xb2 banci. Lebih politik la\xf0\x9f\x98\x82';1;1;0;1;0;0;0;1;0;0;1;0;guna wisma darul aman kerja banci lebih politik 
Hari ini, Presiden Jokowi akan meninjau proyek Bandara Kertajati yg direncanakan akan beroperasi pada bulan Juni 2018. Pd tahap 1, kapasitas terminal bisa menampung 5 juta;0;0;0;0;0;0;0;0;0;0;0;0;hari ini presiden jokowi akan minta proyek bandara kertajati  tuju akan operasi pada bulan juni pada jam kapasitas terminal bisa dukung juta
"Kalau Gotham City lokasinya di Indonesia, Harvey Dent mungkin akan bilang, ""You either die a hero for democracy or you live long enough to see yourself become the oligarch.""";0;0;0;0;0;0;0;0;0;0;0;0;jika gotham kota atur di indonesia harvey penyok mungkin akan nilai anda juga dia orang pahlawan bagi demokrasi orang anda hidup cukup lama untuk lihat diri anda jadi raja
".; H. Imam Munandar (Gubernur Riau periode 1980-1985 dan 1985-1990) memperoleh gelar Datuk SriÃ¢?Â¦";0;0;0;0;0;0;0;0;0;0;0;0;h imam munandar gubernur riau periode dan oleh gelar datuk sri
USER Iya sih kek komunis banget wkwkwk';1;0;1;0;0;1;0;0;0;1;0;0;guna iya  suka komunis banget 
"4 Kebijakan Presiden Jokowi yg Bikin PNS Bahagia.; ; 1. Apartemen khusus bagi PNS. ; 2. THR lebih besar.; 3. Pensiunan dapat THR.; 4. PNS pria dapat cuti istri melahirkan. ; ; Fakta mana lg yg kalian dustakan.! ; ; #2019TetapJokowi ; ;";0;0;0;0;0;0;0;0;0;0;0;0; bijak presiden jokowi  buat pegawai negeri bahagia apartemen khusus untuk pegawai negeri sipil tunjang hari raya lebih besar pensiun dapat tunjang hari raya pegawai negeri sipil pria bisa cuti rumah makan apa lagi  bisa debuakan tetap jokowi
Gua sbnrnya paling males bagian yg ini \nHadeh tp kudu ye \n\nBuat admin bangsat gua cuma kenal jirapuncel sama xogentot awalnya orangnya humoris,goblok otaknya setengah,hadeh homoan nih org dua';0;1;0;0;0;0;0;0;0;0;0;0;admin dasar  tapi harus iya buat admin bangsat aku hanya kenal jirapuncel sama xogentot awal orang humoris goblok otak tengah  homo nih orang dua
Bersiap usir sepasang= ASING-CINA,, USER USER USER USER USER USER USER SelamatkenHutan;1;0;1;0;0;1;0;0;0;1;0;0;siap pakai guna cina guna guna guna guna guna guna selamat hutan
RT USER USER USER Hahaha tereak2 cina lu gak ngaca ye junjungan lu itu keturunan etnis ape ?;1;0;1;0;0;1;0;0;0;1;0;0;guna guna guna  teriak teriak cina kamu tidak kaca
USER Yg tebar nyir nyir apa itu bukan seperti teroris, emang teroris cm indentik hanya bom ???';0;0;0;0;0;0;0;0;0;0;0;0;guna  tebar anjir anjir apa itu bukan seperti teroris memang teroris hanya indentik cuma bom
"according to temanku yg kafir dan cina, nabi yunus itu OG vorefag

which is true

fckn sand people i swear to god";0;1;0;0;0;0;0;0;0;0;0;0;turut teman  kafir dan cina nabi yunus itu og vorefag  benar benar cinta orang pasir aku sumpah kepada tuhan
USER Alah bacot congor lu bau';1;1;1;0;0;0;1;0;0;1;0;0;guna  bacot congor kamu bau
\xe2\x80\x9cyang menyebabkan agama itu cacat ialah hawa nafsu.\xe2\x80\x9d - HR Asysyihaa;0;0;0;0;0;0;0;0;0;0;0;0; sebab agama itu cacat adalah hawa nafsu hari asysyihaab
