Tweet;HS;Abusive;HS_Individual;HS_Group;HS_Religion;HS_Race;HS_Physical;HS_Gender;HS_Other;HS_Weak;HS_Moderate;HS_Strong
- disaat semua cowok berusaha melacak perhatian gue. loe lantas remehkan perhatian yg gue kasih khusus ke elo. basic elo cowok bego ! ! !';1;1;1;0;0;0;0;0;1;1;0;0
RT USER: USER siapa yang telat ngasih tau elu?edan sarap gue bergaul dengan cigax jifla calis sama siapa noh licew juga';0;1;0;0;0;0;0;0;0;0;0;0
41. Kadang aku berfikir, kenapa aku tetap percaya pada Tuhan padahal aku selalu jatuh berkali-kali. Kadang aku merasa Tuhan itu ninggalkan aku sendirian. Ketika orangtuaku berencana berpisah, ketika kakakku lebih memilih jadi Kristen. Ketika aku anak ter;0;0;0;0;0;0;0;0;0;0;0;0
USER USER AKU ITU AKU\n\nKU TAU MATAMU SIPIT TAPI DILIAT DARI MANA ITU AKU';0;0;0;0;0;0;0;0;0;0;0;0
USER USER Kaum cebong kapir udah keliatan dongoknya dari awal tambah dongok lagi hahahah';1;1;0;1;1;0;0;0;0;0;1;0
USER Ya bani taplak dkk \xf0\x9f\x98\x84\xf0\x9f\x98\x84\xf0\x9f\x98\x84';1;1;0;1;0;0;0;0;1;0;1;0
deklarasi pilkada 2018 aman dan anti hoax warga dukuh sari jabon;0;0;0;0;0;0;0;0;0;0;0;0
Gue baru aja kelar re-watch Aldnoah Zero!!! paling kampret emang endingnya! 2 karakter utama cowonya kena friendzone bray! XD URL;0;1;0;0;0;0;0;0;0;0;0;0
"Nah admin belanja satu lagi port terbaik nak makan Ais Kepal Milo, Ais Kepal Horlicks atau Cendol Toping kaw kaw. ð??­; ; Doket mano tu ? Gerai Rojak Mertuaku - Taipan 2 (depan TWINS BABY &amp; ROMANTIKA / Bank Islam Senawang) ð???";0;0;0;0;0;0;0;0;0;0;0;0
USER Enak lg klo smbil ngewe';0;1;0;0;0;0;0;0;0;0;0;0
Setidaknya gw punya jari tengah buat lu, sebelom gw ukur nyali sama bacot lu \xf0\x9f\x98\x8f';1;1;1;0;0;0;0;0;1;1;0;0
USER USER USER USER BANCI KALENG MALU GA BISA JAWAB PERTANYAAN KAMI DARI 2 HARI LALU.... NYUNGSEP KOE USER URL;1;1;1;0;0;0;0;1;0;1;0;0
Kalo belajar ekonomi mestinya jago memprivatisasi hati orang. Duh.. ironi USER;0;0;0;0;0;0;0;0;0;0;0;0
Aktor huruhara 98 Prabowo S ingin lengserkan pemerintahan Jokowi.... Nyata;1;0;1;0;0;0;0;0;1;1;0;0
USER Bu guru enakan jadi jablay atau guru esde sih.\nKayaknya menikmati jadi pecun ini guru.';1;1;1;0;0;0;0;1;0;1;0;0
USER USER USER USER USER USER Lawan bicara gw gak intelek kyk loe, yg otak gak punya. Ttg kencing onta, gw mengakui hadis nabi dan itu sahih. Kafir kyk loe pasti menolak, makanya loe ahlunnar.';1;1;1;0;1;0;0;0;0;1;0;0
Belakangan ini kok fikiran ampas banget ya';0;0;0;0;0;0;0;0;0;0;0;0
Ari sarua beki mah repeh monyet\xf0\x9f\x98\x86\xf0\x9f\x98\x86';0;1;0;0;0;0;0;0;0;0;0;0
Jadi cowo itu harus Gantle kalo ga Gantle itu namanya BANCI !';1;1;0;1;0;0;0;1;0;0;1;0
USER Slga mnr bom \xf0\x9f\x98\x82';0;0;0;0;0;0;0;0;0;0;0;0
Asw ya tapi gua jarang ngambek, tacut wkkwkwkwkw gua kan bucin.';0;1;0;0;0;0;0;0;0;0;0;0
USER kalo kamu noob pasti peluang disakitin nya lebih gede si';0;0;0;0;0;0;0;0;0;0;0;0
USER Joko Widodo dinilai sebagai presiden terlemah dalam sejarah Indonesia. Hal ini terjadi bukan saja karena Jokowi tidak memiliki modal dukungan politik yang cukup, melainkan juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi g;0;0;0;0;0;0;0;0;0;0;0;0
"PELAJAR SMA KEC BILAH HILIR DEKLARASI ANTI HOAX &amp; PILKADA 2018 DAMAI";0;0;0;0;0;0;0;0;0;0;0;0
"Bandara Udara Internasional Kertajati dibangun oleh Gubernur Ahmad Heryawan tanpa gunakan APBN pemerintah pusat. Insya Allah siap beroperasi bulan depan;";0;0;0;0;0;0;0;0;0;0;0;0
Siapapun gubernur dan presidennya, rakyatnya, ya kitaÂ² juga...;0;0;0;0;0;0;0;0;0;0;0;0
Ini si USER kerjaannya delay mulu! Setan!';1;1;0;1;0;0;0;0;1;0;1;0
menurutku pintu sorga ada yaitu pintu sorga yang asli dan pintu hatimu modusbanget;0;0;0;0;0;0;0;0;0;0;0;0
RT USER USER USER PKI hanya muncul jika jelang pemilihan kepala daerah dan pemilihan presiden krn digoreng sampai gosong.;1;0;0;1;0;1;0;0;0;0;1;0
USER USER Itu mah sdh nenek-nenek sy heran sama cebong biasay bohong terus';1;1;1;0;0;0;0;0;1;1;0;0
USER USER USER USER USER USER USER USER USER Islam Nusantara produk JIL, dipasarkan dg gencar oleh antek\xc2\xb2 JIL.\n\nSementara JIL anti Arab, tapi pro Aseng!\n\nKata (alm) KH. Hasyim Muzadi,;1;0;0;1;1;0;0;0;0;0;1;0
Dari habis sahur sampe jam 10. Sibayik udah nete 4x. Skg rasanya lemas tak terkira \xf0\x9f\xa4\xa2';0;0;0;0;0;0;0;0;0;0;0;0
USER Gak kak emak mah gak demen ama yang sipit wkwk';0;0;0;0;0;0;0;0;0;0;0;0
RT USER: Kelakuan homok jaman now, ngentot aja sambil live di Blued #gayvid #gvid #lokalhangat URL;0;1;0;0;0;0;0;0;0;0;0;0
"USER Ga kak, gua bukan orang jawa maaf yak :(; ; gua orang palembang soalnya, kakak aja deh yg belajar aksara jawa. Atau kalak mau belajar budaya palembang?";0;0;0;0;0;0;0;0;0;0;0;0
Pegawai Guardian training lagi kek Mentang2 gue kek gembel cuman kaos sama Flat shoes nanya dijutekin bangsad emang males belinya juga kabur gua ke matahari';1;1;0;1;0;0;0;0;1;0;1;0
\xe2\x80\x9dPara Bajingan yang telah melukai Lady harus menerima ganjaran seratus kali lipat!!\xe2\x80\x9d(sanji) ##HBD17thPelautJKT48';0;1;0;0;0;0;0;0;0;0;0;0
ajakan menolak berita hoax dan sukseskan pilkada di wilayah kota keidri:;0;0;0;0;0;0;0;0;0;0;0;0
USER USER Presiden RI Jokowi luarBiasa kerja nya tulus IHLAs untuk #RakyatB3rsamaJKW;0;0;0;0;0;0;0;0;0;0;0;0
Edan emang goollnya fabiano!!';0;1;0;0;0;0;0;0;0;0;0;0
GAPERNAH MENDALAMI AL-QURAN YA BANG??? PANTESAN MULUTNYA KAYA ORANG KAFIR BEJAT HINA farhatabbaslaw';1;1;1;0;1;0;1;0;0;1;0;0
