Tweet;HS;Abusive;HS_Individual;HS_Group;HS_Religion;HS_Race;HS_Physical;HS_Gender;HS_Other;HS_Weak;HS_Moderate;HS_Strong;Tweet_Parsed
"- kdg will be kind enough to show you how to look classy (gamau pny tmn kampungan)
- drinks only the finest wine or no drinking
- when he's being modest, will accompany you to watch movies
- doesnt listen to you that much but will know when ur not okay bcs he actually cares abt u";0;1;0;0;0;0;0;0;0;0;0;0;kadang kind enough show look kelas teman kampung drink fine wine orang drink modest accompany watch movie listen much know ok actualy care
Ternyata komunis juga bisa nangis';0;0;0;0;0;0;0;0;0;0;0;0;nyata komunis menang
USER USER Kenapa harus bom ya? Kek yg benar nunjukin kita ini siapa. Dgn emabel \xe2\x80\x9cbom\xe2\x80\x9d masih bikin takut org org sbnr nya, apalagi klwr yg menjadi korban.';0;0;0;0;0;0;0;0;0;0;0;0;user user bom embel bom takut orang orang korban
USER Sumpaaah kaya kalo abis IAA dilanjut olim sama pagelaran budaya gak siii wkwkw;0;0;0;0;0;0;0;0;0;0;0;0;user sumpah kaya habis iya olimpiade pagelaran budaya
RT USER USER USER USER USER fungsi media sosial di Indo unt sebar fitnah di AS unt kecerdasan URL;1;0;1;0;0;0;0;0;1;1;0;0;user user user user user fungsi medium sosial indonesia sebar fitnah cerdas
Cawapres terduga korupsi e-ktp.. cagub jatengnya pun terduga korupsi e-ktp.. tapi msh blm ditindak? #2019GantiPresiden #2019PresidenBaru;1;0;1;0;0;0;0;0;1;1;0;0;calon wakil presiden duga korupsi e kartu tanda duduk calon gubernur jawa duga korupsi e kartu tanda duduk tindak ganti presiden presiden
ISRAEL UNFORGIVEN !!! YOU'RE THE REAL TERRORIST !! LAKNAT ALLAH MENANTIMU ZIONIS !! #PrayForGaza #PrayForPalestine;1;1;0;1;0;0;0;0;1;0;1;0;israel unforgiven real terrorist laknat allah zionis pray gaza pray palestine
How do we know that? They just said a BULLSHIT!! RT  USER: Tetap Pergi ke Yunani, Anggota BK DPR Jamin Tak Pelesiran  http://de.tk/0aKcX;1;1;0;1;0;0;0;0;1;0;1;0;know say bullshit user pergi yunani anggota buku dewan wakil rakyat jamin pelesir
Happy anniv failed 3bulan with cwo berengsek!;0;1;0;0;0;0;0;0;0;0;0;0;happy anniversary fail pria berengsek
USER anjg bener bener ayam kampus ya lo';1;1;1;0;0;0;0;1;0;1;0;0;user anjing ayam kampus
USER Wisma darulaman. Kerja\xc2\xb2 banci. Lebih politik la\xf0\x9f\x98\x82';1;1;0;1;0;0;0;1;0;0;1;0;user wisma darul aman kerja banci politik
Hari ini, Presiden Jokowi akan meninjau proyek Bandara Kertajati yg direncanakan akan beroperasi pada bulan Juni 2018. Pd tahap 1, kapasitas terminal bisa menampung 5 juta;0;0;0;0;0;0;0;0;0;0;0;0;presiden jokowi tinjau proyek bandara kertajati rencana operasi juni tahap kapasitas terminal tampung juta
"Kalau Gotham City lokasinya di Indonesia, Harvey Dent mungkin akan bilang, ""You either die a hero for democracy or you live long enough to see yourself become the oligarch.""";0;0;0;0;0;0;0;0;0;0;0;0;gotham city lokasi indonesia harvey dent bilang either hero democracy orang live long enough see become oligarch
".; H. Imam Munandar (Gubernur Riau periode 1980-1985 dan 1985-1990) memperoleh gelar Datuk SriÃ¢?Â¦";0;0;0;0;0;0;0;0;0;0;0;0;h imam munandar gubernur riau periode gelar datuk sri
USER Iya sih kek komunis banget wkwkwk';1;0;1;0;0;1;0;0;0;1;0;0;user iya komunis banget
"4 Kebijakan Presiden Jokowi yg Bikin PNS Bahagia.; ; 1. Apartemen khusus bagi PNS. ; 2. THR lebih besar.; 3. Pensiunan dapat THR.; 4. PNS pria dapat cuti istri melahirkan. ; ; Fakta mana lg yg kalian dustakan.! ; ; #2019TetapJokowi ; ;";0;0;0;0;0;0;0;0;0;0;0;0;bijak presiden jokowi pegawai negeri sipil bahagia apartemen khusus pegawai negeri sipil tunjang raya pensiun tunjang raya pegawai negeri sipil pria cuti istri lahir fakta dusta jokowi
Gua sbnrnya paling males bagian yg ini \nHadeh tp kudu ye \n\nBuat admin bangsat gua cuma kenal jirapuncel sama xogentot awalnya orangnya humoris,goblok otaknya setengah,hadeh homoan nih org dua';0;1;0;0;0;0;0;0;0;0;0;0;pal malas iya admin bangsat kenal jirapuncel xogentot orang humoris goblok otak homo nih orang
Bersiap usir sepasang= ASING-CINA,, USER USER USER USER USER USER USER SelamatkenHutan;1;0;1;0;0;1;0;0;0;1;0;0;usir pasang asing cina user user user user user user user selamat hutan
RT USER USER USER Hahaha tereak2 cina lu gak ngaca ye junjungan lu itu keturunan etnis ape ?;1;0;1;0;0;1;0;0;0;1;0;0;user user user teriak teriak cina kaca iya junjung turun etnis
USER Yg tebar nyir nyir apa itu bukan seperti teroris, emang teroris cm indentik hanya bom ???';0;0;0;0;0;0;0;0;0;0;0;0;user tebar anjir anjir teroris teroris indentik bom
"according to temanku yg kafir dan cina, nabi yunus itu OG vorefag

which is true

fckn sand people i swear to god";0;1;0;0;0;0;0;0;0;0;0;0;accord teman kafir cina nabi yunus og vorefag true fuck sand people sumpah god
USER Alah bacot congor lu bau';1;1;1;0;0;0;1;0;0;1;0;0;user bacot congor bau
\xe2\x80\x9cyang menyebabkan agama itu cacat ialah hawa nafsu.\xe2\x80\x9d - HR Asysyihaa;0;0;0;0;0;0;0;0;0;0;0;0;agama cacat hawa nafsu asysyihaab
His organization which is Islamic Defender Front or in Indonesia(Front Pembela Islam/FPI) supporting HTI(Hizbut Tahrir Indonesia) which is affiliate with ISIS(Islamic Global terrorism). learder of FPI, Rizieq often criticize Indonesia Goverment, who ban HTI organization.;1;0;0;1;1;0;0;0;0;0;1;0;organization islam defender front orang indonesia front bela islam front bela islam support hizbut tahrir indonesia hizbut tahrir indonesia affiliate isi islam global terrorism learder front bela islam rizieq often criticize indonesia goverment ban hizbut tahrir indonesia organization
Wah klau di Indonesia bisa diboikot tuh banknya. Iran negara islam aja trima uang cina URL;1;0;0;1;0;1;0;0;0;0;1;0;indonesia boikot bank iran negara islam terima duit cina
Indonesia saat ini sedang darurat teroris, berbagai rentetan kejadian terorisme terjadi di Kota Surabaya dan Sidoarjo. Di Surabaya, bom meledak di 3 gereja dan mapolrestabes. Menurut artikel yg saya baca, pelaku dari aksi teror ini adalah 1 keluarga.\n.;0;0;0;0;0;0;0;0;0;0;0;0;indonesia darurat teroris rentet terorisme kota surabaya sidoarjo surabaya bom ledak gereja markas polisi resor kota artikel baca laku aksi teror keluarga
HahhahaHhH.... Fuck n miss all of you... Bangsat!!! Nazif chivas... Farouqy mabookkkk...,,,,;0;1;0;0;0;0;0;0;0;0;0;0;fuck miss bangsat nazif chivas farouqy mabuk
RT USER USER USER USER Bener kamu ngga ada apa-apa nya;1;0;1;0;0;0;0;0;1;1;0;0;user user user user
USER USER Bencong tu apa';0;0;0;0;0;0;0;0;0;0;0;0;user user bencong
Emang kalo temennya makan sampah kita jg harus makan sampah gtu? Kan gk sih ya.';0;0;0;0;0;0;0;0;0;0;0;0;teman makan sampah makan sampah
percuma dapat banyak medali kalo ujung-ujungnya cuma diajak teriak KAFIR LENGSERKAN..;1;1;0;1;1;0;0;0;0;0;0;1;medali ujung ujung ajak teriak kafir lengser
"USER USER USER Santai aje bro..; ; Meski gue udah biasa diblock, tak satu pun akun yg gue block.; ; Meski ada Block Masela, Block Mahakam, Block East Natuna, Block East Kalimantan, Block Attaka, Block Kasuri, dll...; ; I don't car";0;0;0;0;0;0;0;0;0;0;0;0;user user user santai bro blok akun blok blok blok mahakam blok east natuna blok east kalimantan blok attaka blok kasur lie lie car
"Binaan Lapas Pasuruan Terancam Kehilangan Hak Pilih;";0;0;0;0;0;0;0;0;0;0;0;0;bina lembaga masyarakat pasuruan ancam hilang hak pilih
"People on internet commenting mame's visual
""so cute...look at rhis puppy boy uwu""
""he's really 80% shiba inu..""
And I agree
Meanwhile my indonesian friend
""imut ih kayak anak anjing..""
Bentar2... Kok gue gak terima yak??!?";0;0;0;0;0;0;0;0;0;0;0;0;people internet comment mame visual cute look rhis puppy boy really shiba inu agree meanwhile indonesian friend imut kayak anak anjing bentar bentar terima
USER Kegaduan di mulai adu domba di komporin ciribkhas modus penjajah menggunakan para kacung, waspada komunis ekonomi dan wilyah NKRI relah di jajah, pribumi dan agama di adu.. Sabu di sebar, eksodus TKA RRC 157.000 data SPSI berbekal waji;1;1;0;1;0;0;0;0;1;0;1;0;user gaduh adu domba kompor ciri khas modus jajah kacung waspada komunis ekonomi wilayah negara republik indonesia jajah pribumi agama adu sabu sebar eksodus tenaga kerja asing republik rakyat cina data serikat kerja indonesia bekal wajik
USER Lu enak2 makan gaji buta, uang raktat cm bermodal mulut sampah lu Ri. Ga malu ?';1;1;1;0;0;0;0;0;1;1;0;0;user enak enak makan gaji buta duit rakyat modal mulut sampah republik indonesia malu
"USER yg penting gronbrekeng, gunting pita,; manajemen proyek tahap2nya lewatin aj lah; KEAHLIAN CEBONG HANYA 1, TUKANG TIPU !!!; cebong mah gitu, goblok nggak ketulungan. Plonga plongo mengakibatkan optimisme berlebihan; ; #2019GantiPresiden #Plo";1;1;0;1;0;0;0;0;1;0;1;0;user groundbreaking gunting pita manajemen proyek tahap tahap ahli kecebong tukang tipu kecebong goblok ketulungan plonga plongo akibat optimisme ganti presiden plo
There is no Malaysia anymore. It's MalayCHEAT? Ã°ÂÂÂ #ShameOnYouMalaysia #SEAGames2017;1;0;0;1;0;0;0;0;1;0;1;0;malaysia anymore malaysia cheat shame malaysia sea game
USER Krn itu bbrp milih main di rusia, turki, china krn katanya sih tax heaven \nAlias 48G wes paling bener sambil angkat sekali lagi lightstick mu kawan di sayidan di jalanan tuangkan air kedamaian.';0;0;0;0;0;0;0;0;0;0;0;0;user pilih main rusia turki cina tax heaven alias puluh delapan gram pal angkat lightstick mu kawan sayid jalan tuang air damai
Pilkada Jawa Timur yg paling ayem dan santai, Cagub dan rakyatnya juga adem karena sudah dewasa dalam politik, saya bangga sbg arek suroboyo;0;0;0;0;0;0;0;0;0;0;0;0;pilih kepala daerah jawa timur pal ayem santai calon gubernur rakyat adem dewasa politik bangga arek surabaya
#nctea dulu kukira renjun member korea dan jungwoo member asing. Gimana tho:(';0;0;0;0;0;0;0;0;0;0;0;0;nctea renjun member korea jungwoo member asing though
USER Tendang pelan2 49% asing...#2019TetapJokowi';0;0;0;0;0;0;0;0;0;0;0;0;user tendang pelan pelan asing jokowi
Saya suka video USER;0;0;0;0;0;0;0;0;0;0;0;0;suka video user
USER Tiati euy bayu gatra edan pisan lah';0;1;0;0;0;0;0;0;0;0;0;0;user hati hati bayu gatra gila banget
