Tweet;HS;Abusive;HS_Individual;HS_Group;HS_Religion;HS_Race;HS_Physical;HS_Gender;HS_Other;HS_Weak;HS_Moderate;HS_Strong;Tweet_Parsed
"- kdg will be kind enough to show you how to look classy (gamau pny tmn kampungan)
- drinks only the finest wine or no drinking
- when he's being modest, will accompany you to watch movies
- doesnt listen to you that much but will know when ur not okay bcs he actually cares abt u";0;1;0;0;0;0;0;0;0;0;0;0; kadang will be kind enough to show you how to look berkelas tidak mau punya teman kampungan drinks only the finest wine orang no drinking when he being modest will accompany you to watch movies does not listen to you that much but will know when kamu not ok because he actualy cares about kamu
Ternyata komunis juga bisa nangis';0;0;0;0;0;0;0;0;0;0;0;0;ternyata komunis juga bisa menangis 
USER USER Kenapa harus bom ya? Kek yg benar nunjukin kita ini siapa. Dgn emabel \xe2\x80\x9cbom\xe2\x80\x9d masih bikin takut org org sbnr nya, apalagi klwr yg menjadi korban.';0;0;0;0;0;0;0;0;0;0;0;0;user user kenapa harus bom  seperti  benar menunjukkan kita ini siapa dengan embel bom masih buat takut orang orang sebenarnya  apalagi keluar  menjadi korban 
USER Sumpaaah kaya kalo abis IAA dilanjut olim sama pagelaran budaya gak siii wkwkw;0;0;0;0;0;0;0;0;0;0;0;0;user sumpah kaya kalau habis iya dilanjut olimpiade sama pagelaran budaya tidak  
RT USER USER USER USER USER fungsi media sosial di Indo unt sebar fitnah di AS unt kecerdasan URL;1;0;1;0;0;0;0;0;1;1;0;0;rt user user user user user fungsi media sosial di indonesia untuk sebar fitnah di as untuk kecerdasan url
Cawapres terduga korupsi e-ktp.. cagub jatengnya pun terduga korupsi e-ktp.. tapi msh blm ditindak? #2019GantiPresiden #2019PresidenBaru;1;0;1;0;0;0;0;0;1;1;0;0;calon wakil presiden terduga korupsi e kartu tanda penduduk calon gubernur jawa tengahnya  terduga korupsi e kartu tanda penduduk tapi masih belum ditindak ganti presiden presiden baru
ISRAEL UNFORGIVEN !!! YOU'RE THE REAL TERRORIST !! LAKNAT ALLAH MENANTIMU ZIONIS !! #PrayForGaza #PrayForPalestine;1;1;0;1;0;0;0;0;1;0;1;0;israel unforgiven you are the real terrorist laknat allah menantimu zionis pray for gaza pray for palestine
How do we know that? They just said a BULLSHIT!! RT  USER: Tetap Pergi ke Yunani, Anggota BK DPR Jamin Tak Pelesiran  http://de.tk/0aKcX;1;1;0;1;0;0;0;0;1;0;1;0;how do we know that they just said a bullshit rt user tetap pergi ke yunani anggota buku dewan perwakilan rakyat jamin tidak pelesiran 
Happy anniv failed 3bulan with cwo berengsek!;0;1;0;0;0;0;0;0;0;0;0;0;happy anniversary failed bulan dengan pria berengsek 
USER anjg bener bener ayam kampus ya lo';1;1;1;0;0;0;0;1;0;1;0;0;user anjing benar benar ayam kampus  kamu 
USER Wisma darulaman. Kerja\xc2\xb2 banci. Lebih politik la\xf0\x9f\x98\x82';1;1;0;1;0;0;0;1;0;0;1;0;user wisma darul aman kerja banci lebih politik  
Hari ini, Presiden Jokowi akan meninjau proyek Bandara Kertajati yg direncanakan akan beroperasi pada bulan Juni 2018. Pd tahap 1, kapasitas terminal bisa menampung 5 juta;0;0;0;0;0;0;0;0;0;0;0;0;hari ini presiden jokowi akan meninjau proyek bandara kertajati  direncanakan akan beroperasi pada bulan juni pada tahap kapasitas terminal bisa menampung juta
"Kalau Gotham City lokasinya di Indonesia, Harvey Dent mungkin akan bilang, ""You either die a hero for democracy or you live long enough to see yourself become the oligarch.""";0;0;0;0;0;0;0;0;0;0;0;0;kalau gotham city lokasinya di indonesia harvey dent mungkin akan bilang you either dia a hero for democracy orang you live long enough to see yourself become the oligarch 
".; H. Imam Munandar (Gubernur Riau periode 1980-1985 dan 1985-1990) memperoleh gelar Datuk SriÃ¢?Â¦";0;0;0;0;0;0;0;0;0;0;0;0; h imam munandar gubernur riau periode dan memperoleh gelar datuk sri 
USER Iya sih kek komunis banget wkwkwk';1;0;1;0;0;1;0;0;0;1;0;0;user iya  seperti komunis banget  
