Tweet;HS;Abusive;HS_Individual;HS_Group;HS_Religion;HS_Race;HS_Physical;HS_Gender;HS_Other;HS_Weak;HS_Moderate;HS_Strong;Tweet_Parsed
"- kdg will be kind enough to show you how to look classy (gamau pny tmn kampungan)
- drinks only the finest wine or no drinking
- when he's being modest, will accompany you to watch movies
- doesnt listen to you that much but will know when ur not okay bcs he actually cares abt u";0;1;0;0;0;0;0;0;0;0;0;0;kadang akan cukup baik untuk menunjukkan kepada anda bagaimana terlihat berkelas tidak mau punya teman kampungan hanya minum anggur terbaik orang tidak minum ketika dia sedang sederhana akan menemani anda untuk menonton film tidak mendengarkan anda banyak tetapi akan tahu kapan anda tidak baik baik saja karena dia sebenarnya peduli tentang kamu
Ternyata komunis juga bisa nangis';0;0;0;0;0;0;0;0;0;0;0;0;ternyata komunis juga bisa menangis
USER USER Kenapa harus bom ya? Kek yg benar nunjukin kita ini siapa. Dgn emabel \xe2\x80\x9cbom\xe2\x80\x9d masih bikin takut org org sbnr nya, apalagi klwr yg menjadi korban.';0;0;0;0;0;0;0;0;0;0;0;0;pengguna pengguna mengapa harus bom  seperti  benar benar membuktikan kita ini siapa dengan embel bom masih membuat takut orang orang sebenarnya dia keluar keluar  menjadi korban
USER Sumpaaah kaya kalo abis IAA dilanjut olim sama pagelaran budaya gak siii wkwkw;0;0;0;0;0;0;0;0;0;0;0;0;pengguna sumpah kaya kalau habis iya dilanjut olimpiade sama budaya tidak  
RT USER USER USER USER USER fungsi media sosial di Indo unt sebar fitnah di AS unt kecerdasan URL;1;0;1;0;0;0;0;0;1;1;0;0;pengguna rt pengguna pengguna pengguna fungsi media sosial di indonesia untuk sebar fitnah di sebagai untuk kecerdasan url
Cawapres terduga korupsi e-ktp.. cagub jatengnya pun terduga korupsi e-ktp.. tapi msh blm ditindak? #2019GantiPresiden #2019PresidenBaru;1;0;1;0;0;0;0;0;1;1;0;0;calon wakil presiden terduga korupsi e kartu tanda penduduk calon gubernur jawa tengahnya  terduga korupsi e kartu tanda penduduk tapi masih belum ditindak ganti presiden presiden baru
ISRAEL UNFORGIVEN !!! YOU'RE THE REAL TERRORIST !! LAKNAT ALLAH MENANTIMU ZIONIS !! #PrayForGaza #PrayForPalestine;1;1;0;1;0;0;0;0;1;0;1;0;israel  tak terampuni anda adalah teroris  sebenarnya laknat allah menantimu zionis berdoa untuk gaza berdoa untuk palestine
How do we know that? They just said a BULLSHIT!! RT  USER: Tetap Pergi ke Yunani, Anggota BK DPR Jamin Tak Pelesiran  http://de.tk/0aKcX;1;1;0;1;0;0;0;0;1;0;1;0;bagaimana kita tahu bahwa mereka hanya mengatakan pengguna rsh omong kosong tetap pergi ke yunani anggota dewan perwakilan rakyat jamin tidak pelesiran
Happy anniv failed 3bulan with cwo berengsek!;0;1;0;0;0;0;0;0;0;0;0;0;selamat ulang tahun gagal bulan dengan pria berengsek
USER anjg bener bener ayam kampus ya lo';1;1;1;0;0;0;0;1;0;1;0;0;pengguna anjing benar benar ayam kampus  kamu
